date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:20:06	25273/25273	---M-Z	200	added ('OK')	text/css	etag:%2262b9-5df2e81570bc3-gzip%22	https://themesdesign.in/symox-node/layouts/assets/libs/quill/quill.bubble.css	D:/cinema-online-admin/themesdesign.in/symox-node/layouts/assets/libs/quill/quill.bubble.css	(from https://themesdesign.in/symox-node/layouts/form-editors.html)
13:20:06	24743/24743	---M-Z	200	added ('OK')	text/css	etag:%2260a7-5df2e81572b03-gzip%22	https://themesdesign.in/symox-node/layouts/assets/libs/quill/quill.snow.css	D:/cinema-online-admin/themesdesign.in/symox-node/layouts/assets/libs/quill/quill.snow.css	(from https://themesdesign.in/symox-node/layouts/form-editors.html)
13:20:06	593/593	---M-Z	200	added ('OK')	application/javascript	etag:%22251-5df2e8151eb42-gzip%22	https://themesdesign.in/symox-node/layouts/assets/js/pages/form-editor.init.js	D:/cinema-online-admin/themesdesign.in/symox-node/layouts/assets/js/pages/form-editor.init.js	(from https://themesdesign.in/symox-node/layouts/form-editors.html)
13:20:07	216333/216333	---M-Z	200	added ('OK')	application/javascript	etag:%2234d0d-5df2e81572b03-gzip%22	https://themesdesign.in/symox-node/layouts/assets/libs/quill/quill.min.js	D:/cinema-online-admin/themesdesign.in/symox-node/layouts/assets/libs/quill/quill.min.js	(from https://themesdesign.in/symox-node/layouts/form-editors.html)
13:20:07	723/723	---M-Z	200	added ('OK')	application/javascript	etag:%222d3-5df2e8151eb42-gzip%22	https://themesdesign.in/symox-node/layouts/assets/js/pages/form-wizard.init.js	D:/cinema-online-admin/themesdesign.in/symox-node/layouts/assets/js/pages/form-wizard.init.js	(from https://themesdesign.in/symox-node/layouts/form-wizard.html)
13:20:07	62215/62215	---M-Z	200	added ('OK')	application/javascript	etag:%22f307-5df2e8155c3a3-gzip%22	https://themesdesign.in/symox-node/layouts/assets/libs/imask/imask.min.js	D:/cinema-online-admin/themesdesign.in/symox-node/layouts/assets/libs/imask/imask.min.js	(from https://themesdesign.in/symox-node/layouts/form-mask.html)
13:20:07	627/627	---M-Z	200	added ('OK')	application/javascript	etag:%22273-5df2e8151eb42-gzip%22	https://themesdesign.in/symox-node/layouts/assets/js/pages/form-mask.init.js	D:/cinema-online-admin/themesdesign.in/symox-node/layouts/assets/js/pages/form-mask.init.js	(from https://themesdesign.in/symox-node/layouts/form-mask.html)
13:20:08	7762/7762	---M-Z	200	added ('OK')	text/css	etag:%221e52-5df2e81557583-gzip%22	https://themesdesign.in/symox-node/layouts/assets/libs/gridjs/theme/mermaid.min.css	D:/cinema-online-admin/themesdesign.in/symox-node/layouts/assets/libs/gridjs/theme/mermaid.min.css	(from https://themesdesign.in/symox-node/layouts/tables-advanced.html)
13:20:08	60552/60552	---M-Z	200	added ('OK')	application/javascript	etag:%22ec88-5df2e81557583-gzip%22	https://themesdesign.in/symox-node/layouts/assets/libs/gridjs/gridjs.umd.js	D:/cinema-online-admin/themesdesign.in/symox-node/layouts/assets/libs/gridjs/gridjs.umd.js	(from https://themesdesign.in/symox-node/layouts/tables-advanced.html)
13:20:08	7600/7600	---M-Z	200	added ('OK')	application/javascript	etag:%221db0-5df2e8151eb42-gzip%22	https://themesdesign.in/symox-node/layouts/assets/js/pages/gridjs.init.js	D:/cinema-online-admin/themesdesign.in/symox-node/layouts/assets/js/pages/gridjs.init.js	(from https://themesdesign.in/symox-node/layouts/tables-advanced.html)
